,classcode,oneway,streetname,cnn,from_cnn,to_cnn,from_cnn_coords,to_cnn_coords,length
2988,4,T,INDUSTRIAL ST,7207101,20785000,20779000,"[-122.40502836575942, 37.73849805574577]","[-122.40564673702453, 37.73832136212122]",57.7805243871
2989,4,F,INDUSTRIAL ST,7207201,20785000,20779000,"[-122.40502836575942, 37.73849805574577]","[-122.40564673702453, 37.73832136212122]",57.7805243871
2990,5,B,BRADFORD ST,3060000,21107000,21106000,"[-122.40937790885192, 37.74292254246664]","[-122.40939070070202, 37.74240251038807]",57.7995551434
2991,5,B,WHITNEY YOUNG CIR,13612000,28166000,28177000,"[-122.38577233432947, 37.73578395898233]","[-122.38582147291157, 37.736302777129204]",57.8152283154
2992,5,B,POLK ST,10550000,24462000,24464000,"[-122.41859850918621, 37.78026013298776]","[-122.4187089040498, 37.78077316158698]",57.8289864419
2993,3,T,GUERRERO ST,6575102,25844000,25843000,"[-122.42447501739802, 37.769148181374426]","[-122.4244241606007, 37.76862931456254]",57.8319415145
2994,6,F,I-280 S OFF RAMP,19326000,52114000,52246000,"[-122.39212102101487, 37.75348195316147]","[-122.39274516035984, 37.75364731642478]",57.8346445405
2995,5,B,RALEIGH ST,10890000,22120000,50620000,"[-122.44193444840629, 37.72779888413238]","[-122.44224269309669, 37.727338769445616]",57.8644835395
2996,3,F,01ST ST,105000,24542000,24534000,"[-122.3970347954946, 37.78933265256654]","[-122.39657076540742, 37.78896296440341]",57.8646339417
2997,3,F,04TH ST,257000,23911000,23907000,"[-122.40061307210381, 37.78158766645281]","[-122.40014963735547, 37.781217520429074]",57.866983606
2998,5,B,NIBBI CT,9602000,20269000,50842000,"[-122.39670997363055, 37.710388025417664]","[-122.3960736608318, 37.71025401187464]",57.8882616157
2999,5,B,KEARNY ST,7773002,54048000,25386000,"[-122.40664518397574, 37.803940880849375]","[-122.4067502170585, 37.804455252515396]",57.8987616028
3000,5,B,PANORAMA DR,10241000,26239000,26238000,"[-122.45168736970957, 37.752299297818446]","[-122.45111404532295, 37.75255649079478]",57.9168941039
3001,5,B,YALE ST,13742000,20957000,50944000,"[-122.41740965442534, 37.72668549858559]","[-122.4172050634836, 37.72618997808135]",57.9265803645
3002,5,B,LAGUNA ST,7982000,26722000,26739000,"[-122.43111529024773, 37.80046921835271]","[-122.43121908930128, 37.80098403123973]",57.9300898275
3003,5,B,NAPLES ST,9499000,21430000,21438000,"[-122.43748584124951, 37.712373420645264]","[-122.43781110412796, 37.711920044742016]",57.9301868785
3004,5,B,TOMPKINS AVE,12631000,21206000,21191000,"[-122.41661255704372, 37.73724794843347]","[-122.41595499237197, 37.73721061136668]",57.9359572735
3005,5,B,LEAVENWORTH ST,8270101,25531000,30764000,"[-122.418151092078, 37.803135399089705]","[-122.41825588722165, 37.803650215436164]",57.9442413231
3006,0,B,ESMERALDA AVE,5255000,28083000,33676000,"[-122.40810470308594, 37.743104510102405]","[-122.4074954928827, 37.743304206456976]",57.9507010931
3007,5,B,BENTON AVE,2933000,21195000,21193000,"[-122.41757094458991, 37.73394935168814]","[-122.41691182960061, 37.73392836318555]",57.9729512367
3008,3,F,SAINT FRANCIS BLVD,11294202,33016000,22941000,"[-122.47115114231222, 37.734649795257724]","[-122.47050352826501, 37.73474913202955]",57.9753016767
3009,4,B,PERSIA AVE,10375000,21608000,21605000,"[-122.42639027055418, 37.71856072526683]","[-122.42583481689717, 37.71827938904531]",57.9774746591
3010,5,B,LANSDALE AVE,8103000,22825000,28162000,"[-122.45932781989491, 37.73901136536253]","[-122.45959180943058, 37.738533098999675]",57.9900336234
3011,4,B,05TH ST,294000,24633000,23945000,"[-122.40593132843159, 37.782296140443535]","[-122.40546627473583, 37.78192501815843]",58.0438408941
3012,0,B,FAIRMOUNT ST,5399000,21874000,21884000,"[-122.42810482872233, 37.7386763140077]","[-122.42872773964453, 37.738502443221456]",58.0505983263
3013,5,B,SANTA MONICA WAY,11488000,32999000,22919000,"[-122.4647963208786, 37.7390203251545]","[-122.46427014983148, 37.73933686235722]",58.0977149787
3014,5,B,TAYLOR ST,12448000,25129000,25118000,"[-122.413454533835, 37.79652216645222]","[-122.41355854392457, 37.79703851459881]",58.1015636722
3015,5,B,MONTCALM ST,9259000,21118000,21113000,"[-122.40609253785298, 37.747009831795694]","[-122.40649561193058, 37.746595232095146]",58.1127507483
3016,4,B,06TH ST,333000,24280000,23943000,"[-122.40662819966268, 37.77931467471037]","[-122.4061628580575, 37.77894276140055]",58.1252664907
3017,4,B,ALEMANY BLVD,2149000,52018000,52226000,"[-122.40855672267914, 37.73642858602304]","[-122.40900796231756, 37.736046137968216]",58.1273903931
3018,5,T,POLK ST,10548000,24438000,24437000,"[-122.41813856919816, 37.77797066346277]","[-122.41822658172829, 37.77848911711398]",58.129518516
3019,3,T,OFARRELL ST,9731000,25143000,25142000,"[-122.41502002311412, 37.785531833379785]","[-122.41567388995689, 37.785449627730905]",58.1468163562
3020,5,B,TANDANG SORA,12374000,24584000,24582000,"[-122.40026848852716, 37.78186965528255]","[-122.39980220254623, 37.78149799927632]",58.162316859
3021,3,F,03RD ST,230202,20475000,20460000,"[-122.39646333147402, 37.720740036658626]","[-122.3966170258974, 37.72023091281481]",58.167080684
3022,5,T,MARY ST,8794000,24284000,24283000,"[-122.4067111653081, 37.78168026672626]","[-122.40624777546533, 37.78130584556203]",58.2028392009
3023,4,T,OCEAN AVE,9831101,22661000,22669000,"[-122.46221250364309, 37.725265707612]","[-122.46281547401178, 37.7254824122085]",58.2124347311
3024,4,F,OCEAN AVE,9831201,22661000,22669000,"[-122.46221250364309, 37.725265707612]","[-122.46281547401178, 37.7254824122085]",58.2124347311
3025,4,T,BATTERY ST,2751000,30732000,24672000,"[-122.3995045106446, 37.79080537590906]","[-122.39957202888876, 37.791326533548535]",58.2164290198
3026,5,T,MORSE ST,9393000,21478000,21506000,"[-122.44256641672395, 37.71211530461777]","[-122.44319235867017, 37.711943952929104]",58.2283142945
3027,5,B,UNNAMED 042,12931000,33623000,33622000,"[-122.3846574639791, 37.76201919965966]","[-122.38478569439299, 37.7615049828615]",58.2422474343
3028,5,B,CROAKER CT,14206000,34136000,53045000,"[-122.37446787110602, 37.82386062391439]","[-122.37482139323228, 37.8243043940117]",58.2649994488
3029,4,B,LINCOLN BLVD,19442002,51348000,54122000,"[-122.47581017791424, 37.80365336241968]","[-122.47610038427354, 37.80318174973469]",58.2740584641
3030,5,B,ORIZABA AVE,9988000,22499000,22500000,"[-122.462615213271, 37.71561930403378]","[-122.46262048135702, 37.71614379445155]",58.2858969283
3031,5,B,HOLLADAY AVE,6945000,20820000,20821000,"[-122.40557416664628, 37.745028684996285]","[-122.4057700860303, 37.74452751180793]",58.2930927985
3032,5,B,HILL POINT AVE,6925000,50528000,26310000,"[-122.45582210367166, 37.76459387641428]","[-122.45578106554375, 37.76407006982617]",58.3196023235
3033,5,B,VALENCIA ST,13055000,24402000,24382000,"[-122.42230830260932, 37.76927768603352]","[-122.42225815503565, 37.76875414407222]",58.3451920475
3034,5,B,FAIR AVE,5376000,21337000,21335000,"[-122.41988576368196, 37.74559509653164]","[-122.41929426486823, 37.74535638323219]",58.3535462657
3035,5,B,FAIRFAX AVE,5389001,35016000,35017000,"[-122.38085080355044, 37.736279384703465]","[-122.38100370050273, 37.736790553038205]",58.3712360416
3036,5,B,OSAGE ALY,10038000,50705000,24089000,"[-122.41906572165337, 37.75272849967745]","[-122.419017542584, 37.752204442085315]",58.3896086803
3037,5,B,LAPU-LAPU ST,8117000,24580000,24581000,"[-122.39887920744602, 37.78222423534061]","[-122.39934928638765, 37.7825959122481]",58.3987115132
3038,4,B,02ND ST,130000,24618000,24605000,"[-122.40081230310159, 37.788815496571225]","[-122.400343849668, 37.78844216326396]",58.4259849854
3039,4,B,02ND ST,133000,24594000,24543000,"[-122.39925504879693, 37.78757927735578]","[-122.39878960014417, 37.787203463579736]",58.4376306274
3040,5,B,MINNESOTA ST,9057000,23643000,50723000,"[-122.39021008578469, 37.75782586079346]","[-122.39015584405509, 37.75730172921067]",58.4388104408
3041,5,B,UPLAND DR,13008000,22688000,22759000,"[-122.46355899638492, 37.72917559523344]","[-122.464056167032, 37.72952482888727]",58.442091389
3042,4,B,CORTLAND AVE,4441000,21026000,21023000,"[-122.40764198072422, 37.73960607614121]","[-122.40697858514054, 37.73956627233741]",58.4653250653
3043,5,T,MARKET ST,8746102,30768000,54124000,"[-122.40458331708774, 37.78673056643494]","[-122.40501321913372, 37.78632868190676]",58.4799061757
3044,5,B,CARDENAS AVE,3691000,23020000,33531000,"[-122.4755122573151, 37.71892059426061]","[-122.4748631851087, 37.71903626113899]",58.4848509636
3045,4,B,06TH ST,330000,24285000,24282000,"[-122.40816079346452, 37.780535386716174]","[-122.40769141484905, 37.78016202606679]",58.488633783
3046,5,B,ALLISON ST,2200000,21449000,51027000,"[-122.44059761467976, 37.709945818448794]","[-122.44036996674127, 37.70945113043112]",58.5019746963
3047,5,B,RANDOLPH ST,10923000,22543000,22546000,"[-122.46979824239875, 37.71428168366905]","[-122.47046372074192, 37.7142772345466]",58.5028701296
3048,4,B,GREAT HWY,8524000,23495000,23496000,"[-122.50619398161635, 37.7360956877212]","[-122.50613512527698, 37.73557111774297]",58.521927754
3049,5,B,AGUA WAY,2105000,22427000,22422000,"[-122.45308212460222, 37.742081725825145]","[-122.45372866142701, 37.7422087902747]",58.5426294764
3050,5,B,ONONDAGA AVE,9954000,33427000,22060000,"[-122.43916814822688, 37.7218338782066]","[-122.4397646426454, 37.72206900354532]",58.5808169702
3051,5,B,PIERCE ST,10447000,26775000,26970000,"[-122.43959833680714, 37.80101678433557]","[-122.43970376769666, 37.80153742715946]",58.5924191806
3052,5,B,INDIANA ST,7203000,51629000,51875000,"[-122.39022889827076, 37.748132305587866]","[-122.39017487663641, 37.74760673679483]",58.5964711058
3053,5,B,STEUART ST,12160001,24548000,53004000,"[-122.39164579758591, 37.7920057014845]","[-122.39118298474997, 37.791625734299465]",58.6059047471
3054,4,B,02ND ST,136000,24539000,24535000,"[-122.39770448536929, 37.78633861544316]","[-122.39723446005311, 37.78596399136675]",58.6260093939
3055,3,F,01ST ST,108001,24528000,24526000,"[-122.39547795045188, 37.788092182706535]","[-122.39500784176764, 37.787717615202276]",58.626011355
3056,5,B,DORCHESTER WAY,4927000,22873000,22956000,"[-122.46275899887068, 37.7407747689308]","[-122.4632203618126, 37.74115592452465]",58.6323074747
3057,5,B,20TH ST,1057000,24146000,24151000,"[-122.41984131661086, 37.75858492570167]","[-122.42050683286952, 37.758544721313754]",58.6395732726
3058,5,B,11TH ST,510000,24363000,24355000,"[-122.41657566907503, 37.77390625232694]","[-122.41610416184976, 37.77353237624128]",58.6637325291
3059,5,B,CASTENADA AVE,3774000,22975000,22972000,"[-122.46360353877526, 37.74667576266659]","[-122.46417699400281, 37.746403969077]",58.747810279
3060,5,T,PENA ST,15071000,54134000,51266000,"[-122.45801846048187, 37.79830675231973]","[-122.45744647318821, 37.79803234297934]",58.7574718389
3061,5,B,MILEY ST,9028000,50508000,26897000,"[-122.44503104304164, 37.797309058200675]","[-122.44569189231021, 37.79722494827692]",58.7766426934
3062,5,B,ZOE ST,13794000,23836000,23835000,"[-122.39630620405815, 37.780096450606116]","[-122.39583533244632, 37.779720604739296]",58.7772253557
3063,5,B,PACHECO ST,10084000,27094000,32882000,"[-122.46646887367325, 37.750939435613724]","[-122.46704883315785, 37.751203846017546]",58.8219672848
3064,3,F,NEW MONTGOMERY ST,9541000,24621000,24620000,"[-122.40150988852936, 37.788269268736876]","[-122.40104304577342, 37.78788961362548]",58.8284433154
3065,6,F,HWY 101 NORTHBOUND RAMP,19212000,52109000,52257000,"[-122.4194137201172, 37.770218720745866]","[-122.41975852477452, 37.770672595426056]",58.8323411721
3066,3,B,PENNSYLVANIA AVE,10337002,52245000,23613000,"[-122.39269003285047, 37.75307264593762]","[-122.39263938654179, 37.75254468371322]",58.8383740758
3067,5,B,YUKON ST,13789000,26154000,26153000,"[-122.44223820911016, 37.75810350677588]","[-122.44237089820528, 37.75758449210492]",58.8419005585
3068,5,B,STOREY AVE,19735001,51335000,54132000,"[-122.47468928024585, 37.80404727991535]","[-122.47524911534252, 37.80433848514231]",58.8499074715
3069,0,B,ONIQUE LN,9950000,22000000,21999000,"[-122.43853858750263, 37.73949900731422]","[-122.43906017586673, 37.73916659338697]",58.8683920598
3070,5,B,EXECUTIVE PARK BLVD,5372102,54228000,54206000,"[-122.3946382517139, 37.71116131397833]","[-122.39401110722933, 37.711347043135504]",58.8697162329
3071,5,B,EXECUTIVE PARK BLVD,5372202,54228000,54206000,"[-122.3946382517139, 37.71116131397833]","[-122.39401110722933, 37.711347043135504]",58.8697162329
3072,5,B,APPLETON AVE,2374000,21835000,21265000,"[-122.42394878406446, 37.73884328489053]","[-122.42335265751878, 37.73860149020359]",58.8757791902
