,classcode,oneway,streetname,cnn,from_cnn,to_cnn,from_cnn_coords,to_cnn_coords,length
0,5,B,GRANT AVE,6408000,25376000,25391000,"[-122.40789570242603, 37.802203159671244]","[-122.40789866598965, 37.80221802045265]",1.6717809795
1,5,B,HYDE ST,7141000,30028000,25543000,"[-122.41910554731129, 37.79948227457389]","[-122.41910945900483, 37.799501833031165]",2.20040829341
2,5,B,SACRAMENTO ST,11238000,25077000,30047000,"[-122.41190046905322, 37.79264824906129]","[-122.41192994408037, 37.7926445051445]",2.62156738117
3,5,B,LEAVENWORTH ST,8259000,25285000,30043000,"[-122.416931167961, 37.797050821901045]","[-122.41693604708581, 37.79707501856622]",2.72277585422
4,5,T,CLAY ST,4097000,25015000,25016000,"[-122.40990071352259, 37.79380616568101]","[-122.40993588613672, 37.793801690127175]",3.12841426088
5,5,B,PACIFIC AVE,10136000,25124000,25125000,"[-122.41250387574557, 37.7961920285995]","[-122.41254065701172, 37.79618740092784]",3.27046843818
6,5,B,JACKSON ST,7380000,25040000,25041000,"[-122.40870465390262, 37.795766841119885]","[-122.40874323384745, 37.795761981844365]",3.43051293404
7,5,B,VALLEJO ST,13086000,30040000,24827000,"[-122.40364496233072, 37.799224168458515]","[-122.4036903902703, 37.799218450520215]",4.03918189381
8,5,T,JONES ST,7568000,24931000,24927000,"[-122.41287203783463, 37.78530844835933]","[-122.41288123947324, 37.78535382301132]",5.10661118703
9,5,B,MASON ST,8825000,25418000,25419000,"[-122.41240815045687, 37.79971800201981]","[-122.41241755529198, 37.79976476929484]",5.26221976341
10,5,T,BRYANT ST,3296000,23882000,50083000,"[-122.40654518233545, 37.7728607496386]","[-122.40659028644498, 37.772825094459186]",5.60315365149
11,5,T,BUSH ST,3428000,24728000,24735000,"[-122.40433292291415, 37.790721934691284]","[-122.40439988637752, 37.79071347855981]",5.95514321023
12,5,B,UNION ST,12840000,25337000,28180000,"[-122.40633885798121, 37.80079513157939]","[-122.40640795442987, 37.80078641738705]",6.14381738106
13,5,B,VALLEJO ST,13093000,25332000,25333000,"[-122.40786949638931, 37.79869686129798]","[-122.40794511487938, 37.7986867483115]",6.73431093635
14,0,B,CAMPBELL AVE,3648000,51978000,52217000,"[-122.41035865407586, 37.716393384216246]","[-122.41043349650711, 37.71641377274132]",6.95824612982
15,5,B,BRANNAN ST,3084000,23893000,23913000,"[-122.40204602658937, 37.77396734310045]","[-122.40210257011337, 37.77392264528143]",7.02416214043
16,5,F,SACRAMENTO ST,11231000,24993000,24992000,"[-122.40728723230747, 37.79323363640825]","[-122.40737373845624, 37.793222721238024]",7.69268901848
17,0,B,ORIZABA AVE,9992000,52066000,52067000,"[-122.46263877142796, 37.71786643423759]","[-122.46263962555342, 37.71793603497304]",7.73475403479
18,5,B,LOMBARD ST,8443000,30035000,25465000,"[-122.41362271468556, 37.80275505836444]","[-122.4137187499589, 37.802743201845786]",8.53448146106
19,5,B,GOETTINGEN ST,6246000,20579000,20304000,"[-122.40212121173529, 37.71613450186235]","[-122.40209082836337, 37.71606052535326]",8.64364560918
20,4,B,16TH ST,727000,24180000,24175000,"[-122.42048249182183, 37.765002196873056]","[-122.42058060823194, 37.7649962696406]",8.64442668363
21,4,B,HOLLOWAY AVE,6989000,22740000,23022000,"[-122.47167358640837, 37.721631205161]","[-122.47176027155245, 37.721671203872354]",8.82124146552
22,5,B,SALINAS AVE,11319000,20565000,20564000,"[-122.3982295634611, 37.72112068363449]","[-122.39832598282868, 37.72114323756056]",8.83805509858
23,3,F,HARRISON ST,6728000,23929000,50077000,"[-122.40629596475063, 37.77551415431759]","[-122.40636853439533, 37.775456813502]",9.01290605125
24,4,T,BUSH ST,3435000,24975000,24973000,"[-122.40786893788531, 37.790275353735986]","[-122.40797042609098, 37.790262534709996]",9.02557915584
25,5,B,CHESTNUT ST,3966000,50345000,30060000,"[-122.42219083769001, 37.80260412054537]","[-122.42229284154624, 37.80259121616493]",9.07031608811
26,5,B,ACEVEDO AVE,2083000,33486000,23111000,"[-122.484640358946, 37.719842087683645]","[-122.48474447846452, 37.71984529203815]",9.1591617036
27,4,B,PINE ST,10458001,24687000,54143000,"[-122.40175412088979, 37.79200342923639]","[-122.40185937886076, 37.7919899716449]",9.36348504408
28,5,B,STEINER ST,12154000,30061000,26769000,"[-122.43759172935046, 37.79912484371793]","[-122.4376088348832, 37.79920944197666]",9.52022042911
29,0,B,SHIELDS ST,11806000,52067000,52065000,"[-122.46263962555342, 37.71793603497304]","[-122.46275203561405, 37.71793529122343]",9.88158653954
30,5,B,UNION ST,12844000,25344000,30724000,"[-122.40789837335839, 37.800600289771744]","[-122.4080098250505, 37.80058689431034]",9.89862301761
31,5,T,JACKSON ST,7375000,25033000,25021000,"[-122.40731987798243, 37.79594092157847]","[-122.407432089647, 37.79592682932698]",9.97707358371
32,3,T,MISSION ST,9152101,21696000,21702000,"[-122.4301109178021, 37.72993058811367]","[-122.43018123703493, 37.729859826243754]",10.0014812281
33,3,B,MISSION ST,9152201,21696000,21702000,"[-122.4301109178021, 37.72993058811367]","[-122.43018123703493, 37.729859826243754]",10.0014812281
34,3,F,10TH ST,482000,24423000,24415000,"[-122.41652513705887, 37.77576414455133]","[-122.41644326781395, 37.77569884674959]",10.2158194556
35,4,F,PINE ST,10457000,24682000,24687000,"[-122.40163761593435, 37.792018325307815]","[-122.40175412088979, 37.79200342923639]",10.3639957618
36,4,B,16TH ST,724000,24365000,24168000,"[-122.41857913818286, 37.765117158975904]","[-122.41869842588804, 37.76510995504361]",10.5096625169
37,5,B,MOULTRIE ST,9412000,51922000,21268000,"[-122.41568490074641, 37.741703575596446]","[-122.41569241986969, 37.74160890888302]",10.5405793803
38,3,F,08TH ST,415000,24201000,50080000,"[-122.40851633081756, 37.77375970065788]","[-122.40842923149023, 37.77369030315639]",10.8629252108
39,5,B,MUIR LOOP,19779000,51193000,51194000,"[-122.44835976598796, 37.795210460044416]","[-122.44836495412594, 37.79530871812515]",10.9284404768
40,5,B,MUIR LOOP,19572000,51193000,51194000,"[-122.44835976598796, 37.795210460044416]","[-122.44836495412594, 37.79530871812515]",10.9284404768
41,3,B,MISSION ST,9168000,21744000,21746000,"[-122.43597688858034, 37.72312996333802]","[-122.43604007262283, 37.72304446992014]",11.0046621462
42,5,T,JACKSON ST,7371000,24779000,25029000,"[-122.40622473671513, 37.796077505279]","[-122.40635066855536, 37.79606196932664]",11.1921244432
43,4,B,MISSION ST,9098000,24886000,24883000,"[-122.40716438300736, 37.78219072125835]","[-122.407254674816, 37.78211941926083]",11.2101367121
44,5,B,GREEN ST,6444002,54148000,24853000,"[-122.40492396567008, 37.80001703473241]","[-122.40505102038783, 37.80000081525731]",11.300832745
45,6,F,HWY 101 S ON RAMP,19244000,52256000,52156000,"[-122.41812466161454, 37.76980552916263]","[-122.4181603717571, 37.7697077129737]",11.3134055913
46,5,B,THORNBURG RD,19742000,51221000,51222000,"[-122.45139157254704, 37.80181569883864]","[-122.45150785341953, 37.801861595150925]",11.4129169585
47,5,B,POWHATTAN AVE,10708000,21275000,21274000,"[-122.41705778638259, 37.74167212364815]","[-122.41692768937632, 37.741666101236746]",11.4518929574
48,3,B,MISSION ST,9157000,21767000,21762000,"[-122.4323632636796, 37.72771681440669]","[-122.43244732448554, 37.7276372081593]",11.5257418765
49,5,T,JACKSON ST,7376000,25021000,30721000,"[-122.407432089647, 37.79592682932698]","[-122.40756376921443, 37.79591029157699]",11.7080356194
50,5,T,MORSE ST,9394000,21506000,21508000,"[-122.44319235867017, 37.711943952929104]","[-122.44331951944018, 37.71190914207007]",11.8291796201
51,5,B,KIRKWOOD AVE,7890004,54022000,33128000,"[-122.37302969823403, 37.728604258043184]","[-122.37315791428429, 37.72863853761639]",11.8954479066
52,5,B,THORNTON AVE,12593000,20526000,20531000,"[-122.39505769085056, 37.73105449964307]","[-122.39519164415836, 37.731073601996094]",11.9627257982
53,4,B,HOLLOWAY AVE,6986000,22732000,22736000,"[-122.46973969169908, 37.721644376088086]","[-122.46987676955344, 37.72164344297191]",12.0494700017
54,5,B,BAKER ST,2636000,27008000,27009000,"[-122.44616109172077, 37.799556099093905]","[-122.44618070534983, 37.79966524642487]",12.2506677912
55,3,B,MISSION ST,9164000,21769000,21742000,"[-122.43479841359162, 37.72468255437043]","[-122.43487037929222, 37.72458770596465]",12.2924355258
56,5,B,FAIR AVE,5379000,28191000,52215000,"[-122.4182005253644, 37.74491245964242]","[-122.41807555883027, 37.74486157588797]",12.3513299117
57,3,B,MISSION ST,9166000,21741000,21743000,"[-122.4353125700625, 37.724004909069755]","[-122.43538508578388, 37.72390940329859]",12.3799792311
58,0,B,SAUL ST,11663000,52017000,52015000,"[-122.40826565381668, 37.73530343774334]","[-122.40812613087745, 37.735286629355066]",12.4031327966
59,4,B,16TH ST,730000,24177000,24184000,"[-122.42123959382532, 37.764956459594686]","[-122.42138147554044, 37.76494788791264]",12.5003283265
60,4,T,FOLSOM ST,5675000,24275000,24276000,"[-122.40884574952234, 37.775953229432254]","[-122.40894674467398, 37.77587344519981]",12.5418896261
61,5,B,MONUMENT WAY,9327000,32927000,32926000,"[-122.44628722691175, 37.762310164611364]","[-122.44639162115065, 37.762231951977235]",12.6352602206
62,5,B,LOMBARD ST,8444000,25465000,25469000,"[-122.4137187499589, 37.802743201845786]","[-122.41386085168195, 37.80272518227747]",12.6365947612
63,5,B,MOUNT VERNON AVE,9424000,21512000,21516000,"[-122.44379478311723, 37.71547247164945]","[-122.44389804361653, 37.71555404944917]",12.8287591187
64,5,F,LAGUNA HONDA BLVD,7992201,22863000,22861000,"[-122.45872851779114, 37.74675542970276]","[-122.4586962236033, 37.746642594517006]",12.8559111587
65,5,F,HIGUERA AVE,6915000,33487000,23109000,"[-122.48463057212822, 37.71856606675445]","[-122.48477767892813, 37.71857088549474]",12.9421787874
66,0,B,SELBY ST,11736000,51703000,51971000,"[-122.39284355496574, 37.74747921041102]","[-122.39293127975546, 37.747383919779324]",13.0976279211
67,5,B,WATT AVE,13463000,21456000,51013000,"[-122.44090335341745, 37.70910687204621]","[-122.44080995025487, 37.709014505591156]",13.1446720117
68,5,B,ADA CT,2089000,25158000,50275000,"[-122.41574387248006, 37.785802910506966]","[-122.41576738591878, 37.78592160776562]",13.3509136879
69,3,B,MISSION ST,9182000,21480000,21489000,"[-122.44256496266311, 37.71466061918317]","[-122.44266152683821, 37.714567198373956]",13.4101327514
70,0,B,EMERALD COVE WAY,15129000,54215000,54216000,"[-122.39524359756642, 37.713077622630905]","[-122.39524071958078, 37.713199142839045]",13.5063167488
71,4,B,SAN BRUNO AVE,11381000,20600000,20578000,"[-122.40210839113455, 37.72403561360788]","[-122.40206096699495, 37.723919994654764]",13.5074456838
72,5,B,HARRISON ST,6764000,52213000,21150000,"[-122.41136961365653, 37.74438769153826]","[-122.41135791796387, 37.74426626064156]",13.5331022234
73,5,T,14TH ST,587000,24373000,24381000,"[-122.42120988357964, 37.76819945228554]","[-122.4213645223954, 37.768190109542886]",13.6236873455
74,5,B,HALLECK ST,19156000,51272000,51587000,"[-122.45459053880245, 37.80203329817423]","[-122.45456266497588, 37.80215574838209]",13.8256393013
75,5,B,SKYVIEW WAY,11947000,32961000,32962000,"[-122.4500201920758, 37.7511348529602]","[-122.45001762088177, 37.75125951629098]",13.8550687478
76,5,B,SANCHEZ ST,11514000,25795000,25794000,"[-122.43066230350694, 37.76208088079731]","[-122.43065017677215, 37.7619544082373]",14.094597727
77,5,B,VENTURA AVE,13202000,27042000,50639000,"[-122.4622678589833, 37.75097192110463]","[-122.46219591252392, 37.75108593859295]",14.1596526097
78,5,B,SURREY ST,12300000,21945000,21968000,"[-122.43498485516052, 37.7356821920458]","[-122.43507656205769, 37.73557723863514]",14.1767099685
79,5,B,SIMONDS LOOP,19702000,51200000,51201000,"[-122.4485648005884, 37.79551858139782]","[-122.44840493746678, 37.79549788228901]",14.2250080618
80,5,B,SANCHEZ ST,11510000,25975000,25806000,"[-122.4310377793153, 37.76599632956215]","[-122.43102547098255, 37.76586798644245]",14.3030707828
81,4,B,SAN BRUNO AVE,11390000,33181000,33182000,"[-122.40004247134416, 37.71753772818373]","[-122.40001188017402, 37.71741104654863]",14.3320450447
82,3,T,DOLORES ST,4861101,25865000,25875000,"[-122.42685828990508, 37.7690423895501]","[-122.42671322664447, 37.76898207459406]",14.3979834644
83,4,B,SAN JOSE AVE,11443000,22125000,33377000,"[-122.43885364152074, 37.72966897774404]","[-122.43898319450136, 37.729588971384544]",14.4462508975
84,5,B,THORNTON AVE,12600000,20626000,20628000,"[-122.40113143452886, 37.73125850918197]","[-122.40128831575267, 37.731217377396014]",14.5258105242
85,5,B,POWHATTAN AVE,10718000,21067000,33294000,"[-122.41136091338343, 37.74139111249945]","[-122.41119493179067, 37.74139458433763]",14.5908482367
86,4,B,ASHTON AVE,2523000,22615000,22613000,"[-122.46226489570644, 37.721694985941596]","[-122.46226548719002, 37.72182779454564]",14.7584627705
87,5,B,MARVIEW WAY,8791000,32947000,26224000,"[-122.4497145402548, 37.754072287859735]","[-122.44956737161418, 37.75413976672237]",14.9473149872
88,0,B,FRANCONIA ST,5781000,52214000,21117000,"[-122.40820602091713, 37.74658357309941]","[-122.40812457228357, 37.74646518389328]",14.9766927824
89,5,B,FUNSTON AVE,5974000,32876000,27121000,"[-122.46989399942743, 37.75277688068571]","[-122.46978195537328, 37.7526745766089]",15.0385168866
90,4,B,HOLLOWAY AVE,6977000,22708000,22706000,"[-122.46539098895802, 37.721673877085856]","[-122.46556367303164, 37.721672709107644]",15.1793283269
91,5,B,BADGER ST,2602000,21795000,33522000,"[-122.43418764623178, 37.73121975070516]","[-122.43413177210898, 37.73109037940441]",15.1919528953
92,5,B,URBANO DR,13022000,22666000,33418000,"[-122.46349678749554, 37.724867112077746]","[-122.46362807528335, 37.72495614395873]",15.2002172793
93,4,B,CORTLAND AVE,4420000,21252000,21250000,"[-122.41972009024124, 37.739758965982034]","[-122.41956574090808, 37.739696221255734]",15.2510403626
94,5,B,WISCONSIN ST,13699000,23698000,28098000,"[-122.3986060963345, 37.75382182698638]","[-122.39859315064987, 37.753684746015566]",15.2755436265
95,5,B,GRIFFITH ST,6538000,33127000,20073000,"[-122.37959926142405, 37.72773227711456]","[-122.37969655752339, 37.72761779419681]",15.3289389545
96,5,B,HOFFMAN AVE,6936000,26101000,26099000,"[-122.44107583110835, 37.75417848490492]","[-122.44093017365468, 37.7541015084804]",15.3931249496
97,0,B,QUESADA AVE,10819000,33248000,51721000,"[-122.39559692468954, 37.735691616237254]","[-122.39573964413594, 37.735772480867574]",15.4293505387
98,5,B,INGERSON AVE,7246000,20101000,20103000,"[-122.38913596196224, 37.71687930427348]","[-122.38927765470865, 37.7169612949436]",15.4322044461
99,5,B,LISBON ST,8405000,21688000,21691000,"[-122.43007950733109, 37.72666325962914]","[-122.43016970024298, 37.726543778001144]",15.463907647
100,4,B,OCEAN AVE,9824101,22586000,22591000,"[-122.45716900107739, 37.724101683978525]","[-122.45734095279562, 37.724137987433544]",15.6430487491
101,4,F,OCEAN AVE,9824201,22586000,22591000,"[-122.45716900107739, 37.724101683978525]","[-122.45734095279562, 37.724137987433544]",15.6430487491
102,5,B,BELLA VISTA WAY,2891000,22302000,32992000,"[-122.44737142549153, 37.73793355644483]","[-122.44754107509276, 37.737976907053024]",15.6677417304
103,5,B,FILLMORE ST,5573000,26797000,26791000,"[-122.43743292486123, 37.806262395295406]","[-122.4374612937753, 37.8064017808109]",15.6882158141
104,4,B,SAN BRUNO AVE,11384001,52232000,20573000,"[-122.40113002709128, 37.72166868369782]","[-122.40107412985563, 37.72153439890424]",15.710478394
105,5,B,LOMBARD ST,8436000,25371000,25383000,"[-122.40762991064838, 37.80349838836476]","[-122.40780860579095, 37.80347559988859]",15.8928285359
106,5,B,18TH ST,883000,25685000,25674000,"[-122.4227748905063, 37.76162810170631]","[-122.42295533380333, 37.7616171208318]",15.8991402742
107,5,B,AMBER DR,2256000,22311000,22312000,"[-122.44280914286604, 37.74433075939708]","[-122.4426293878102, 37.744348145279794]",15.9131875655
108,0,B,CUVIER ST,4563000,52443000,52444000,"[-122.42876638548111, 37.734767944973264]","[-122.4287436466632, 37.73462558023744]",15.946011828
109,5,B,22ND AVE,1130000,51576000,27651000,"[-122.48197534093637, 37.78691101390183]","[-122.48199492975154, 37.78676826355728]",15.9561581803
110,0,B,SARGENT ST,11645000,22500000,52060000,"[-122.46262048135702, 37.71614379445155]","[-122.46280265980369, 37.71614203050557]",16.0157152749
111,5,B,GREENWICH ST,6509000,26688000,30062000,"[-122.42271315890348, 37.80062415515583]","[-122.42289378551621, 37.80060120038331]",16.0638049556
112,5,T,14TH ST,591000,25837000,25845000,"[-122.42535353532207, 37.76794970579583]","[-122.42553611174414, 37.7679387098169]",16.0847529992
113,5,B,30TH ST,1671000,21886000,21907000,"[-122.42872857883744, 37.74196399057238]","[-122.42891141686911, 37.741952910982725]",16.1140007243
114,5,B,MUIR LOOP,19778000,51434000,51193000,"[-122.44838884336272, 37.79506702090154]","[-122.44835976598796, 37.795210460044416]",16.1429019843
115,0,B,ISLAIS ST,7334000,51703000,50859000,"[-122.39284355496574, 37.74747921041102]","[-122.39301730878047, 37.74752990114133]",16.273494883
116,0,B,SAN BRUNO AVE,11347000,51929000,51928000,"[-122.40777630310468, 37.738102057811794]","[-122.40790335316436, 37.7379954779475]",16.2767634228
117,5,F,JUNIPERO SERRA BLVD,12955000,33538000,33502000,"[-122.4721603246536, 37.7312055039026]","[-122.47213219521913, 37.731060228013426]",16.3319998323
118,0,B,BOUTWELL ST,3034000,51729000,52027000,"[-122.40572435387035, 37.73651409890941]","[-122.40571048366981, 37.73636729271933]",16.359329207
119,3,B,MONTEREY BLVD,9280101,22256000,22257000,"[-122.45341134363623, 37.731530646680014]","[-122.45359091152412, 37.73148840623824]",16.4650322113
120,5,T,MONTGOMERY ST,9315102,35036000,35037000,"[-122.40455229001344, 37.80137654124239]","[-122.4045816128872, 37.801523102797105]",16.4889221815
121,0,B,INDIA ST,7188000,51834000,51836000,"[-122.37300131394039, 37.7350395314145]","[-122.37281255187239, 37.735050517639074]",16.6338814679
122,5,B,RUGER ST,19672000,51540000,51205000,"[-122.44795879987005, 37.79685519978113]","[-122.44794052164231, 37.79670607143004]",16.6494470714
123,5,B,DONAHUE ST,4900000,33122000,50748000,"[-122.37127295476141, 37.727562729499844]","[-122.37138250892058, 37.72744042384456]",16.6564784124
124,5,T,POST ST,10632000,24953000,30053000,"[-122.41234361288986, 37.787790338383815]","[-122.4125312016707, 37.78776680750784]",16.6803903715
125,0,B,ANDOVER ST,2288000,51879000,50938000,"[-122.4169691274291, 37.73330361325898]","[-122.41698291789889, 37.733153245987054]",16.7534762399
126,5,B,MASONIC AVE,8860000,26328000,26208000,"[-122.44353830641903, 37.765322731624615]","[-122.44334727905176, 37.76533279457709]",16.8184487165
127,3,T,GEARY BLVD,6040103,54015000,54008000,"[-122.4296064461395, 37.78468162164498]","[-122.42979599912528, 37.7846597450432]",16.8239233353
128,0,B,FRANCONIA ST,5783000,51865000,21115000,"[-122.40792021215836, 37.746168139782114]","[-122.40782840272553, 37.74603469112208]",16.8818063819
129,0,B,MORAGA ST,12066000,51505000,51506000,"[-122.47048597799295, 37.756371993501226]","[-122.4706784679274, 37.756363384734016]",16.938798657
130,5,F,GRANT AVE,6384002,54155000,24661000,"[-122.40527891942703, 37.78900969175842]","[-122.40530652051898, 37.78916058452046]",16.9422635317
131,5,B,TERRA VISTA AVE,12524000,33553000,26387000,"[-122.44366589307116, 37.78140156679863]","[-122.44385408628574, 37.78136775943172]",16.9502451865
132,5,B,MARIETTA DR,8693102,33021000,22296000,"[-122.4461759655688, 37.7374540639119]","[-122.44622663375428, 37.73730659081103]",16.9821176305
133,5,B,GIRARD ST,6209000,20552000,20546000,"[-122.39992983267946, 37.716211307370244]","[-122.3997395079498, 37.71618273785738]",17.0291670756
134,4,B,05TH ST,300001,23935000,54069000,"[-122.402840617511, 37.77982852372467]","[-122.40270403898634, 37.77971946607632]",17.0519259055
135,0,B,AUGUSTA ST,2552000,52019000,33268000,"[-122.40642748470168, 37.734226963940976]","[-122.40661495264935, 37.73418446774777]",17.1389106677
136,0,B,SHIELDS ST,11818000,52059000,23008000,"[-122.4722431760983, 37.71787205860778]","[-122.47243835009502, 37.717870750784776]",17.15711328
137,4,B,FULTON ST,5902000,26471000,26470000,"[-122.45281023683138, 37.774995318434684]","[-122.4530033309335, 37.774970754288134]",17.1788329009
138,3,T,MARKET ST,8772102,32922000,32923000,"[-122.44005856515962, 37.76107479375791]","[-122.44025124556576, 37.76104719616432]",17.2029890491
139,5,B,CAPITOL AVE,3658001,51144000,54232000,"[-122.4589994176423, 37.71081783745327]","[-122.45900107123128, 37.71097339553569]",17.2870207948
140,5,F,PACIFIC AVE,10124000,24784000,24792000,"[-122.40531832992413, 37.79708984798959]","[-122.40551293563935, 37.79706459047398]",17.3172082309
141,4,B,CHESTNUT ST,3985000,26999000,27008000,"[-122.44596537137797, 37.799580911364025]","[-122.44616109172077, 37.799556099093905]",17.4053176697
142,5,B,QUINT ST,10842000,20647000,20644000,"[-122.40202616793567, 37.731023921382565]","[-122.40214000907031, 37.73089560795657]",17.4189614385
143,0,B,CHURCH ACCESS RD,19883000,33715000,33716000,"[-122.47881094427277, 37.71445809836505]","[-122.4788089149573, 37.71430115204873]",17.4415895335
144,5,F,GRANT AVE,6385000,24661000,24663000,"[-122.40530652051898, 37.78916058452046]","[-122.40533698823765, 37.78931631101493]",17.5107504118
145,0,B,CUMBERLAND ST,4549000,51578000,25716000,"[-122.43014552166645, 37.75876806867385]","[-122.43034437159245, 37.758755997156584]",17.5213994185
146,4,B,05TH ST,300003,54067000,23910000,"[-122.40251916525524, 37.779571843386435]","[-122.40237749197001, 37.779458715697984]",17.6881899061
147,3,T,07TH ST,374002,50079000,23875000,"[-122.40489065653594, 37.7743943270884]","[-122.4047484926212, 37.77428104074549]",17.7316597925
148,5,F,WASHINGTON ST,13412000,24777000,24780000,"[-122.405845726677, 37.795223235210585]","[-122.40604523571689, 37.79519828319498]",17.7373095639
149,5,B,YERBA BUENA AVE,13750000,22811000,33002000,"[-122.46047706697146, 37.73517952407935]","[-122.4603360097374, 37.73506478850138]",17.7830563456
150,4,B,SILVER AVE,11923000,20897000,33313000,"[-122.40676371611056, 37.73208266988428]","[-122.40657484760122, 37.732140823468995]",17.8126206648
151,5,B,JESSIE ST,7520004,35046000,54080000,"[-122.40539866859689, 37.78443247940114]","[-122.40554228134425, 37.7843192677302]",17.8144362346
152,5,B,STONECREST DR,12227000,33739000,23064000,"[-122.47205421482242, 37.728802960592155]","[-122.47225691193195, 37.728810835576475]",17.8366564639
153,5,B,CRESTLINE DR,4525000,26121000,50637000,"[-122.44627069892343, 37.7527790327472]","[-122.44613202485203, 37.752897175462266]",17.9113187084
154,4,B,LINCOLN BLVD,19470000,51275000,51274000,"[-122.45510149835972, 37.80110324240781]","[-122.45528347930508, 37.80117763102777]",17.9904317453
155,5,B,COSO AVE,4452000,21288000,21287000,"[-122.41782283417737, 37.74595727051863]","[-122.41764047259572, 37.7458816544867]",18.0936929924
156,5,T,JACKSON ST,7383000,30041000,25050000,"[-122.40934354402528, 37.79568636386754]","[-122.40954722024622, 37.795660707607624]",18.1108726221
157,0,B,AMADOR ST,15086002,54330000,54159000,"[-122.38606018693113, 37.74575699051654]","[-122.38626581559191, 37.74574473298844]",18.1199654059
158,5,T,POST ST,10633000,30053000,24964000,"[-122.4125312016707, 37.78776680750784]","[-122.41273584734375, 37.787741136818326]",18.197098614
159,5,B,PALO ALTO AVE,10206000,52230000,51731000,"[-122.45191901658801, 37.756669853122496]","[-122.4521259349089, 37.756658653796244]",18.2218870213
160,4,B,HYDE ST,7137000,25538000,25542000,"[-122.41892070495341, 37.79856539341322]","[-122.4189534627087, 37.798727390579465]",18.2303018183
161,5,B,30TH ST,1675000,21955000,33727000,"[-122.43201734058934, 37.74179378553756]","[-122.43222456618459, 37.74178317150661]",18.2481527957
162,5,B,MAYFLOWER ST,8875000,50924000,21103000,"[-122.41022271427859, 37.74242922794691]","[-122.41001519247686, 37.74242162858959]",18.2554095527
163,5,B,CASTRO ST,3815000,21933000,21936000,"[-122.43245810186214, 37.73500643433186]","[-122.4324431465717, 37.73484257176168]",18.2566181415
164,5,B,LOS PALMOS DR,8495000,22357000,33010000,"[-122.45076191878998, 37.734618251999535]","[-122.45083110968633, 37.73446271309815]",18.3227158341
165,5,B,HANOVER ST,6667000,21457000,21460000,"[-122.44143514543505, 37.7097236332979]","[-122.4416279352785, 37.709660645960945]",18.3372362002
166,0,B,LAKE MERCED HILL ST SOUTH,19853000,52222000,52223000,"[-122.4836465527237, 37.70870766685838]","[-122.48358020891885, 37.7085496053704]",18.5076814509
167,3,B,MISSION ST,9180000,21484000,21483000,"[-122.44169115878613, 37.71557269943031]","[-122.44179946480668, 37.71542967944888]",18.526643502
168,0,B,UNNAMED 088,19808000,51441000,51444000,"[-122.47384899437614, 37.71742753412361]","[-122.47382223338975, 37.717260063182714]",18.7583145482
169,0,B,UNNAMED 090,19812000,51441000,51444000,"[-122.47384899437614, 37.71742753412361]","[-122.47382223338975, 37.717260063182714]",18.7583145482
170,5,B,AVENUE M,14151000,34087000,34088000,"[-122.36872635918945, 37.82789484410344]","[-122.36883044989177, 37.82804298343178]",18.8273741376
171,4,B,DUBOCE AVE,4988000,25986000,25987000,"[-122.43135662386894, 37.76932091202449]","[-122.43157038071931, 37.76930716173544]",18.8390117711
172,5,B,15TH ST,663000,25880000,25975000,"[-122.43082439474324, 37.76601373100566]","[-122.4310377793153, 37.76599632956215]",18.8445574204
173,4,B,STANYAN ST,12082000,26477000,26476000,"[-122.45484663227595, 37.775684989902814]","[-122.45476426974062, 37.77552680020349]",19.0092414918
174,5,B,WILLIAMS AVE,13657000,20537000,20539000,"[-122.39717687743563, 37.72990988353829]","[-122.39739019441683, 37.729940180924196]",19.048185086
175,5,B,15TH AVE,621000,27323000,32874000,"[-122.47212431622532, 37.75438883212195]","[-122.47211571379245, 37.754217333906816]",19.0727401431
176,5,B,NAPLES ST,9500000,21438000,21421000,"[-122.43781110412796, 37.711920044742016]","[-122.43791755526652, 37.71177019773082]",19.1012360749
177,4,B,HYDE ST,7138000,25542000,25511000,"[-122.4189534627087, 37.798727390579465]","[-122.41898787564953, 37.798897570852546]",19.1511906113
178,5,B,CLEMENTINA ST,4201000,50062000,24277000,"[-122.4098422005219, 37.77601520703242]","[-122.4099967974253, 37.775893404005]",19.172757638
179,5,B,KIRKWOOD AVE,7890002,54020000,54024000,"[-122.37242810458224, 37.72822476627409]","[-122.37258594850964, 37.72834390623731]",19.1766972412
180,5,B,FARRAGUT AVE,5414000,21547000,21549000,"[-122.44930866694367, 37.70994620337875]","[-122.44946282437846, 37.710069434325646]",19.266434773
181,5,B,SCOTT ST,11721000,26992000,26995000,"[-122.44190519630136, 37.80374391317907]","[-122.44193961103453, 37.80391652796245]",19.4183765735
182,5,B,19TH ST,964000,24032000,24034000,"[-122.4117061173704, 37.76038285918281]","[-122.41192658636812, 37.760369646287394]",19.4244680382
183,5,F,WASHINGTON ST,13416000,25018000,25022000,"[-122.40726674121483, 37.795043667830676]","[-122.40748519727065, 37.795015974532625]",19.4283351891
184,0,B,RUTLEDGE ST,11215000,21114000,33666000,"[-122.40736699771446, 37.74547617022257]","[-122.4075280089153, 37.74559805120149]",19.5860126094
185,5,B,FAXON AVE,12893000,33597000,33022000,"[-122.45919314454655, 37.73060295426545]","[-122.45924479146399, 37.730774906636604]",19.6399680511
